raceId,driverId,stop,lap,time,duration,milliseconds,constructorId,grid,position,fastestLapTime,fastestLapSpeed,FastestLapSeconds,FastestLapMilliseconds,engineType
1051,1,2,42,18:05:37,25.381,25381,131,1,1,01:25.1,227.633,85.1,85100,1
1052,1,1,13,18:30:29,24.839,24839,131,2,1,01:34.0,207.235,94,94000,1
1052,1,2,28,18:54:40,24.076,24076,131,2,1,01:34.0,207.235,94,94000,1
1053,1,1,28,15:49:27,32.112,32112,131,1,2,01:16.7,230.403,76.7,76700,1
1053,1,2,31,15:55:30,38.198,38198,131,1,2,01:16.7,230.403,76.7,76700,1
1053,1,3,32,15:58:17,24:54.7,1494731,131,1,2,01:16.7,230.403,76.7,76700,1
1053,1,4,33,16:24:48,01:05.9,65870,131,1,2,01:16.7,230.403,76.7,76700,1
1054,1,1,2,15:06:13,22.426,22426,131,2,1,01:20.9,206.971,80.9,80900,1
1054,1,2,3,15:08:36,22.164,22164,131,2,1,01:20.9,206.971,80.9,80900,1
1054,1,3,37,15:57:46,26.907,26907,131,2,1,01:20.9,206.971,80.9,80900,1
1055,1,1,28,15:44:07,22.22,22220,131,1,1,01:20.7,208.64,80.7,80700,1
1055,1,2,42,16:03:32,22.078,22078,131,1,1,01:20.7,208.64,80.7,80700,1
1056,1,1,29,15:40:07,23.783,23783,131,7,7,01:12.9,164.769,72.9,72900,1
1056,1,2,67,16:28:48,24.244,24244,131,7,7,01:12.9,164.769,72.9,72900,1
1057,1,1,11,16:23:50,22.47,22470,131,2,15,01:44.8,206.27,104.8,104800,1
1057,1,2,47,17:33:39,15.432,15432,131,2,15,01:44.8,206.27,104.8,104800,1
1057,1,3,48,17:36:47,33:20.9,2000923,131,2,15,01:44.8,206.27,104.8,104800,1
1058,1,1,28,15:35:48,21.219,21219,131,2,2,01:07.1,231.811,67.1,67100,1
1058,1,2,69,16:23:22,21.64,21640,131,2,2,01:07.1,231.811,67.1,67100,1
1059,1,1,19,15:34:46,30.263,30263,131,2,2,01:37.4,215.903,97.4,97400,1
1060,1,1,31,15:40:45,21.005,21005,131,4,4,01:08.1,228.177,68.1,68100,1
1060,1,2,53,16:06:32,21.421,21421,131,4,4,01:08.1,228.177,68.1,68100,1
1061,1,1,2,15:08:00,34:08.4,2048376,131,2,1,01:29.7,236.43,89.7,89700,1
1061,1,2,27,16:23:17,40.266,40266,131,2,1,01:29.7,236.43,89.7,89700,1
1062,1,1,2,15:07:57,24:09.3,1449259,131,1,2,01:18.7,200.363,78.7,78700,1
1062,1,2,4,15:36:34,21.731,21731,131,1,2,01:18.7,200.363,78.7,78700,1
1062,1,3,19,15:58:08,21.516,21516,131,1,2,01:18.7,200.363,78.7,78700,1
1062,1,4,47,16:36:41,21.208,21208,131,1,2,01:18.7,200.363,78.7,78700,1
1064,1,1,20,15:28:18,19.77,19770,131,2,2,01:11.1,215.654,71.1,71100,1
1064,1,2,39,15:52:19,18.868,18868,131,2,2,01:11.1,215.654,71.1,71100,1
1064,1,3,70,16:30:49,19.202,19202,131,2,2,01:11.1,215.654,71.1,71100,1
1065,1,1,25,15:39:44,25.619,25619,131,4,0,01:25.9,242.864,85.9,85900,1
1066,1,1,26,15:47:52,29.878,29878,131,4,1,01:37.6,215.76,97.6,97600,1
1066,1,2,49,16:26:32,30.045,30045,131,4,1,01:37.6,215.76,97.6,97600,1
1067,1,1,50,16:22:19,22.684,22684,131,11,5,01:32.8,207.16,92.8,92800,1
1069,1,1,13,14:25:41,24.481,24481,131,2,2,01:38.5,201.521,98.5,98500,1
1069,1,2,37,15:06:30,23.676,23676,131,2,2,01:38.5,201.521,98.5,98500,1
1070,1,1,29,13:45:17,22.373,22373,131,2,2,01:19.8,194.116,79.8,79800,1
1071,1,1,7,14:12:37,17.91,17910,131,10,1,01:12.0,215.503,72,72000,1
1071,1,2,8,14:14:49,18.66,18660,131,10,1,01:12.0,215.503,72,72000,1
1071,1,3,26,14:39:27,22.69,22690,131,10,1,01:12.0,215.503,72,72000,1
1071,1,4,43,15:00:52,22.664,22664,131,10,1,01:12.0,215.503,72,72000,1
1072,1,1,10,20:49:49,20.58,20580,131,1,1,01:30.7,244.962,90.7,90700,1
1072,1,2,13,20:58:32,16:35.9,995856,131,1,1,01:30.7,244.962,90.7,90700,1
1072,1,3,15,21:22:02,18:06.7,1086674,131,1,1,01:30.7,244.962,90.7,90700,1
1073,1,1,14,17:24:04,21.595,21595,131,2,2,01:26.6,219.495,86.6,86600,1
1051,4,1,23,17:38:20,25.991,25991,214,3,3,01:26.7,223.437,86.7,86700,3
1052,4,1,11,18:27:32,24.373,24373,214,9,0,01:36.1,202.816,96.1,96100,3
1052,4,2,29,18:57:13,24.775,24775,214,9,0,01:36.1,202.816,96.1,96100,3
1053,4,1,28,15:51:18,30.864,30864,214,15,10,01:19.4,222.526,79.4,79400,3
1053,4,2,32,15:58:37,24:48.4,1488372,214,15,10,01:19.4,222.526,79.4,79400,3
1053,4,3,33,16:25:04,57.601,57601,214,15,10,01:19.4,222.526,79.4,79400,3
1054,4,1,2,15:06:34,21.452,21452,214,13,8,01:21.0,206.718,81,81000,3
1054,4,2,3,15:08:53,21.621,21621,214,13,8,01:21.0,206.718,81,81000,3
1054,4,3,40,16:02:37,26.442,26442,214,13,8,01:21.0,206.718,81,81000,3
1055,4,1,21,15:34:51,22.043,22043,214,10,17,01:21.2,207.311,81.2,81200,3
1055,4,2,61,16:31:41,23.479,23479,214,10,17,01:21.2,207.311,81.2,81200,3
1056,4,1,45,16:01:34,23.803,23803,214,17,13,01:15.0,160.12,75,75000,3
1057,4,1,7,16:16:54,20.168,20168,214,8,6,01:45.6,204.601,105.6,105600,3
1057,4,2,34,17:09:13,19.983,19983,214,8,6,01:45.6,204.601,105.6,105600,3
1057,4,3,47,17:34:03,15.432,15432,214,8,6,01:45.6,204.601,105.6,105600,3
1057,4,4,48,17:37:04,33:34.5,2014526,214,8,6,01:45.6,204.601,105.6,105600,3
1058,4,1,27,15:35:25,21.131,21131,214,8,9,01:09.7,222.867,69.7,69700,3
1059,4,1,18,15:33:49,31.288,31288,214,9,8,01:37.6,215.382,97.6,97600,3
1060,4,1,32,15:42:41,22.663,22663,214,14,10,01:08.4,227.246,68.4,68400,3
1061,4,1,2,15:08:10,34:18.6,2058580,214,7,7,01:31.7,231.276,91.7,91700,3
1061,4,2,24,16:19:10,29.743,29743,214,7,7,01:31.7,231.276,91.7,91700,3
1062,4,1,2,15:08:13,24:15.0,1454979,214,9,4,01:20.4,196.264,80.4,80400,3
1062,4,2,3,15:34:40,37.122,37122,214,9,4,01:20.4,196.264,80.4,80400,3
1062,4,3,39,16:25:35,21.523,21523,214,9,4,01:20.4,196.264,80.4,80400,3
1064,4,1,33,15:45:41,19.018,19018,214,9,6,01:14.3,206.294,74.3,74300,3
1065,4,1,25,15:40:14,24.797,24797,214,9,6,01:14.3,206.294,74.3,74300,3
1066,4,1,36,16:04:40,30.157,30157,214,6,6,01:38.7,213.331,98.7,98700,3
1066,4,2,50,16:29:34,30.702,30702,214,6,6,01:38.7,213.331,98.7,98700,3
1067,4,1,30,15:51:43,29.116,29116,214,5,16,01:33.3,206.073,93.3,93300,3
1069,4,1,7,14:16:03,23.576,23576,214,19,0,01:40.1,198.335,100.1,100100,3
1069,4,2,28,14:52:44,23.844,23844,214,19,0,01:40.1,198.335,100.1,100100,3
1069,4,3,39,15:11:40,23.314,23314,214,19,0,01:40.1,198.335,100.1,100100,3
1070,4,1,39,13:59:43,23.985,23985,214,12,9,01:20.7,191.973,80.7,80700,3
1071,4,1,7,14:12:52,17.751,17751,214,12,9,01:13.9,209.848,73.9,73900,3
1071,4,2,8,14:15:04,17.705,17705,214,12,9,01:13.9,209.848,73.9,73900,3
1071,4,3,34,14:50:16,24.375,24375,214,12,9,01:13.9,209.848,73.9,73900,3
1072,4,1,10,20:50:27,20.405,20405,214,13,13,01:31.6,242.558,91.6,91600,3
1072,4,2,13,20:59:01,16:59.9,1019850,214,13,13,01:31.6,242.558,91.6,91600,3
1072,4,3,15,21:22:31,18:21.8,1101826,214,13,13,01:31.6,242.558,91.6,91600,3
1072,4,4,44,22:32:14,21.097,21097,214,13,13,01:31.6,242.558,91.6,91600,3
1073,4,1,36,17:58:06,21.304,21304,214,11,8,01:27.6,217.01,87.6,87600,3
1051,8,1,10,17:19:14,26.174,26174,51,16,14,01:26.4,224.275,86.4,86400,2
1051,8,2,30,17:49:40,25.633,25633,51,16,14,01:26.4,224.275,86.4,86400,2
1052,8,1,13,18:30:52,24.107,24107,51,14,11,01:35.2,204.672,95.2,95200,2
1052,8,2,29,18:57:06,24.046,24046,51,14,11,01:35.2,204.672,95.2,95200,2
1053,8,1,26,15:47:55,30.28,30280,51,16,13,01:18.4,225.548,78.4,78400,2
1053,8,2,32,15:58:16,24:52.6,1492612,51,16,13,01:18.4,225.548,78.4,78400,2
1053,8,3,33,16:24:42,01:02.9,62892,51,16,13,01:18.4,225.548,78.4,78400,2
1055,8,1,37,15:57:41,21.572,21572,51,17,12,01:22.9,203.094,82.9,82900,2
1056,8,1,43,15:58:41,24.077,24077,51,14,11,01:15.0,160.237,75,75000,2
1057,8,1,13,16:27:59,20.048,20048,51,14,10,01:45.6,204.645,105.6,105600,2
1057,8,2,47,17:34:05,15.064,15064,51,14,10,01:45.6,204.645,105.6,105600,2
1057,8,3,48,17:37:06,33:36.4,2016437,51,14,10,01:45.6,204.645,105.6,105600,2
1058,8,1,36,15:46:10,21.227,21227,51,18,11,01:09.1,224.869,69.1,69100,2
1059,8,1,33,15:59:18,31.327,31327,51,17,17,01:38.0,214.621,98,98000,2
1060,8,1,37,15:48:30,21.896,21896,51,16,15,01:08.9,225.699,68.9,68900,2
1061,8,1,2,15:08:14,34:23.0,2062984,51,13,15,01:31.9,230.78,91.9,91900,2
1061,8,2,18,16:09:59,28.11,28110,51,13,15,01:31.9,230.78,91.9,91900,2
1062,8,1,2,15:08:20,24:17.8,1457844,51,13,10,01:21.5,193.473,81.5,81500,2
1062,8,2,3,15:34:41,35.451,35451,51,13,10,01:21.5,193.473,81.5,81500,2
1062,8,3,15,15:52:26,36.457,36457,51,13,10,01:21.5,193.473,81.5,81500,2
1062,8,4,53,16:45:57,21.172,21172,51,13,10,01:21.5,193.473,81.5,81500,2
1066,8,1,15,15:29:28,30.102,30102,51,13,8,01:40.3,209.921,100.3,100300,2
1066,8,2,47,16:23:59,30.131,30131,51,13,8,01:40.3,209.921,100.3,100300,2
1067,8,1,37,16:02:50,23.164,23164,51,17,12,01:32.6,207.556,92.6,92600,2
1069,8,1,12,14:24:38,24.191,24191,51,15,13,01:41.3,195.843,101.3,101300,2
1069,8,2,31,14:57:43,24.09,24090,51,15,13,01:41.3,195.843,101.3,101300,2
1070,8,1,32,13:50:02,22.424,22424,51,10,8,01:20.7,191.969,80.7,80700,2
1071,8,1,7,14:13:01,18.327,18327,51,0,12,01:12.6,213.607,72.6,72600,2
1071,8,2,8,14:15:15,18.763,18763,51,0,12,01:12.6,213.607,72.6,72600,2
1071,8,3,28,14:42:38,23.541,23541,51,0,12,01:12.6,213.607,72.6,72600,2
1071,8,4,52,15:13:19,22.666,22666,51,0,12,01:12.6,213.607,72.6,72600,2
1072,8,1,13,20:58:54,16:48.6,1008569,51,12,15,01:32.8,239.565,92.8,92800,2
1072,8,2,15,21:22:24,18:19.3,1099282,51,12,15,01:32.8,239.565,92.8,92800,2
1072,8,3,26,22:01:34,34.489,34489,51,12,15,01:32.8,239.565,92.8,92800,2
1073,8,1,21,17:35:29,22.338,22338,51,18,0,01:29.7,211.951,89.7,89700,2
1064,9,1,40,15:55:29,19.708,19708,51,16,15,01:15.4,203.234,75.4,75400,2
1065,9,1,26,15:42:21,24.501,24501,51,17,14,01:25.8,242.924,85.8,85800,2
